,longitude,latitude,day,month,year,native,species,DOY,geometry,ClimateDivision
99,-122.219,38.157,20,04,2011,yes,Lasthenia californica,110,POINT (-122.219 38.157),1
100,-122.334,38.25,16,04,1995,yes,Lasthenia californica,106,POINT (-122.334 38.25),1
102,-122.881,38.834,11,05,1976,yes,Lasthenia californica,132,POINT (-122.881 38.834),1
103,-122.807,38.805,17,04,1974,yes,Lasthenia californica,107,POINT (-122.807 38.805),1
104,-122.711,38.584,04,05,2012,yes,Lasthenia californica,125,POINT (-122.711 38.584),1
106,-123.454,38.715,02,07,1974,yes,Lasthenia californica,183,POINT (-123.454 38.715),1
108,-122.471,37.892,30,03,1997,yes,Lasthenia californica,89,POINT (-122.471 37.892),1
109,-122.471,37.892,19,05,1998,yes,Lasthenia californica,139,POINT (-122.471 37.892),1
110,-122.963,38.027,09,05,2004,yes,Lasthenia californica,130,POINT (-122.963 38.027),1
111,-123.779,39.499,28,04,1980,yes,Lasthenia californica,119,POINT (-123.779 39.499),1
112,-123.077,38.373,06,06,1971,yes,Lasthenia californica,157,POINT (-123.077 38.373),1
113,-123.077,38.373,05,05,1973,yes,Lasthenia californica,125,POINT (-123.077 38.373),1
114,-122.964,39.457,06,05,2004,yes,Lasthenia californica,127,POINT (-122.964 39.457),1
115,-122.964,39.457,06,05,2004,yes,Lasthenia californica,127,POINT (-122.964 39.457),1
116,-123.806,39.309,11,05,1981,yes,Lasthenia californica,131,POINT (-123.806 39.309),1
117,-122.6,38.596,05,04,2003,yes,Lasthenia californica,95,POINT (-122.6 38.596),1
118,-123.224,39.147,02,04,1969,yes,Lasthenia californica,92,POINT (-123.224 39.147),1
119,-122.912,40.593,06,05,1973,yes,Lasthenia californica,126,POINT (-122.912 40.593),1
121,-123.802,39.463,06,06,1966,yes,Lasthenia californica,157,POINT (-123.802 39.463),1
136,-122.882,38.072,29,04,2011,yes,Lasthenia californica,119,POINT (-122.882 38.072),1
166,-123.227,39.161,16,04,2016,yes,Lasthenia californica,107,POINT (-123.227 39.161),1
167,-123.228,39.162,29,04,2013,yes,Lasthenia californica,119,POINT (-123.228 39.162),1
196,-122.626,37.964,22,03,2014,yes,Lasthenia californica,81,POINT (-122.626 37.964),1
199,-122.975,37.993,10,04,2016,yes,Lasthenia californica,101,POINT (-122.975 37.993),1
200,-122.625,37.964,22,03,2014,yes,Lasthenia californica,81,POINT (-122.625 37.964),1
201,-122.626,37.964,10,05,2014,yes,Lasthenia californica,130,POINT (-122.626 37.964),1
202,-123.703,38.973,11,05,1984,yes,Lasthenia californica,132,POINT (-123.703 38.973),1
203,-122.609,37.925,05,05,2012,yes,Lasthenia californica,126,POINT (-122.609 37.925),1
204,-122.607,37.982,14,05,2016,yes,Lasthenia californica,135,POINT (-122.607 37.982),1
205,-122.609,37.91,07,05,2016,yes,Lasthenia californica,128,POINT (-122.609 37.91),1
206,-122.472,37.892,15,04,2016,yes,Lasthenia californica,106,POINT (-122.472 37.892),1
207,-122.975,38.447,12,04,2016,yes,Lasthenia californica,103,POINT (-122.975 38.447),1
208,-122.492,37.912,03,04,2016,yes,Lasthenia californica,94,POINT (-122.492 37.912),1
209,-122.501,37.828,28,03,2016,yes,Lasthenia californica,88,POINT (-122.501 37.828),1
210,-122.488,37.911,02,04,2016,yes,Lasthenia californica,93,POINT (-122.488 37.911),1
211,-122.595,38.125,20,02,2011,yes,Lasthenia californica,51,POINT (-122.595 38.125),1
212,-122.626,37.964,10,05,2014,yes,Lasthenia californica,130,POINT (-122.626 37.964),1
213,-122.626,37.964,28,03,2014,yes,Lasthenia californica,87,POINT (-122.626 37.964),1
214,-122.74,38.058,28,03,2014,yes,Lasthenia californica,87,POINT (-122.74 38.058),1
215,-122.975,38.45,07,04,2013,yes,Lasthenia californica,97,POINT (-122.975 38.45),1
216,-122.973,37.993,22,05,2011,yes,Lasthenia californica,142,POINT (-122.973 37.993),1
217,-122.495,37.914,04,04,2012,yes,Lasthenia californica,95,POINT (-122.495 37.914),1
218,-122.134,38.251,25,02,2012,yes,Lasthenia californica,56,POINT (-122.134 38.251),1
219,-122.491,37.914,05,04,2011,yes,Lasthenia californica,95,POINT (-122.491 37.914),1
221,-122.864,38.044,17,04,2016,yes,Plantago erecta Morris,108,POINT (-122.864 38.044),1
222,-122.864,38.044,17,04,2016,yes,Plantago erecta Morris,108,POINT (-122.864 38.044),1
223,-123.08,38.423,17,04,2016,yes,Plantago erecta Morris,108,POINT (-123.08 38.423),1
224,-122.383,38.502,17,04,1985,yes,Plantago erecta Morris,107,POINT (-122.383 38.502),1
225,-122.52,38.538,03,05,1979,yes,Plantago erecta Morris,123,POINT (-122.52 38.538),1
226,-122.513,38.541,05,04,1983,yes,Plantago erecta Morris,95,POINT (-122.513 38.541),1
227,-122.278,38.493,26,04,1981,yes,Plantago erecta Morris,116,POINT (-122.278 38.493),1
228,-123.013,38.404,02,06,1984,yes,Plantago erecta Morris,154,POINT (-123.013 38.404),1
229,-122.831,38.837,05,05,1984,yes,Plantago erecta Morris,126,POINT (-122.831 38.837),1
235,-122.142,38.251,12,03,2013,yes,Plantago erecta Morris,71,POINT (-122.142 38.251),1
239,-122.348,38.23,09,03,2013,yes,Plantago erecta Morris,68,POINT (-122.348 38.23),1
245,-123.233,38.867,30,03,1989,yes,Plantago erecta Morris,89,POINT (-123.233 38.867),1
246,-122.213,38.154,28,04,2016,yes,Plantago erecta Morris,119,POINT (-122.213 38.154),1
247,-122.219,38.157,20,04,2011,yes,Plantago erecta Morris,110,POINT (-122.219 38.157),1
248,-122.202,38.144,13,04,2009,yes,Plantago erecta Morris,103,POINT (-122.202 38.144),1
250,-123.009,38.719,18,04,1978,yes,Plantago erecta Morris,108,POINT (-123.009 38.719),1
251,-122.522,38.443,08,05,1993,yes,Plantago erecta Morris,128,POINT (-122.522 38.443),1
255,-123.847,39.829,22,07,1992,yes,Plantago erecta Morris,204,POINT (-123.847 39.829),1
256,-124.17,40.838,10,06,1975,yes,Plantago erecta Morris,161,POINT (-124.17 40.838),1
258,-123.145,39.809,09,04,1974,yes,Plantago erecta Morris,99,POINT (-123.145 39.809),1
259,-124.216,40.774,11,05,1975,yes,Plantago erecta Morris,131,POINT (-124.216 40.774),1
262,-122.55,37.91,20,05,1973,yes,Plantago erecta Morris,140,POINT (-122.55 37.91),1
263,-123.806,39.332,23,05,1979,yes,Plantago erecta Morris,143,POINT (-123.806 39.332),1
265,-124.215,41.843,01,06,1967,yes,Plantago erecta Morris,152,POINT (-124.215 41.843),1
267,-122.925,40.597,12,05,1979,yes,Plantago erecta Morris,132,POINT (-122.925 40.597),1
268,-124.149,40.884,30,04,1976,yes,Plantago erecta Morris,121,POINT (-124.149 40.884),1
269,-124.226,40.763,14,06,1976,yes,Plantago erecta Morris,166,POINT (-124.226 40.763),1
270,-122.894,40.593,18,05,1975,yes,Plantago erecta Morris,138,POINT (-122.894 40.593),1
271,-124.216,40.774,24,05,1975,yes,Plantago erecta Morris,144,POINT (-124.216 40.774),1
272,-124.21,40.784,03,04,2002,yes,Plantago erecta Morris,93,POINT (-124.21 40.784),1
273,-123.176,39.605,06,05,1973,yes,Plantago erecta Morris,126,POINT (-123.176 39.605),1
274,-122.894,40.593,18,05,1975,yes,Plantago erecta Morris,138,POINT (-122.894 40.593),1
275,-122.604,37.963,16,04,2016,yes,Plantago erecta Morris,107,POINT (-122.604 37.963),1
288,-122.639,37.97,13,05,2006,yes,Plantago erecta Morris,133,POINT (-122.639 37.97),1
292,-123.73,38.94,24,04,2013,yes,Plantago erecta Morris,114,POINT (-123.73 38.94),1
296,-123.293,38.545,03,05,1972,yes,Plantago erecta Morris,124,POINT (-123.293 38.545),1
297,-123.163,39.238,13,04,1986,yes,Plantago erecta Morris,103,POINT (-123.163 39.238),1
298,-122.689,38.57,30,03,1981,yes,Plantago erecta Morris,89,POINT (-122.689 38.57),1
299,-123.728,38.929,15,05,2014,yes,Plantago erecta Morris,135,POINT (-123.728 38.929),1
300,-122.389,38.488,11,05,1967,yes,Plantago erecta Morris,131,POINT (-122.389 38.488),1
302,-123.333,38.566,15,05,2003,yes,Plantago erecta Morris,135,POINT (-123.333 38.566),1
303,-124.175,40.836,01,05,1983,yes,Plantago erecta Morris,121,POINT (-124.175 40.836),1
304,-122.388,38.505,25,03,2007,yes,Plantago erecta Morris,84,POINT (-122.388 38.505),1
305,-122.807,38.804,17,04,1974,yes,Plantago erecta Morris,107,POINT (-122.807 38.804),1
307,-122.502,38.447,24,03,1996,yes,Plantago erecta Morris,84,POINT (-122.502 38.447),1
308,-122.528,38.442,08,05,1993,yes,Plantago erecta Morris,128,POINT (-122.528 38.442),1
309,-123.847,39.829,22,07,1992,yes,Plantago erecta Morris,204,POINT (-123.847 39.829),1
311,-122.498,38.438,21,05,1994,yes,Plantago erecta Morris,141,POINT (-122.498 38.438),1
312,-124.149,40.884,30,04,1976,yes,Plantago erecta Morris,121,POINT (-124.149 40.884),1
313,-123.475,38.729,19,06,1974,yes,Plantago erecta Morris,170,POINT (-123.475 38.729),1
314,-122.522,38.443,08,05,1993,yes,Plantago erecta Morris,128,POINT (-122.522 38.443),1
316,-122.406,38.564,05,05,2012,yes,Plantago erecta Morris,126,POINT (-122.406 38.564),1
317,-122.598,38.625,24,04,2009,yes,Plantago erecta Morris,114,POINT (-122.598 38.625),1
318,-122.471,37.892,19,04,1998,yes,Plantago erecta Morris,109,POINT (-122.471 37.892),1
319,-122.471,37.892,30,03,1998,yes,Plantago erecta Morris,89,POINT (-122.471 37.892),1
320,-123.73,38.94,24,04,2013,yes,Plantago erecta Morris,114,POINT (-123.73 38.94),1
327,-123.077,38.373,01,05,1976,yes,Plantago erecta Morris,122,POINT (-123.077 38.373),1
340,-122.523,37.854,30,03,2008,yes,Plantago erecta Morris,90,POINT (-122.523 37.854),1
353,-122.219,38.157,20,04,2011,yes,Plantago erecta Morris,110,POINT (-122.219 38.157),1
367,-122.627,37.967,28,05,2016,yes,Plantago erecta Morris,149,POINT (-122.627 37.967),1
391,-122.624,37.964,26,04,2014,yes,Plantago erecta Morris,116,POINT (-122.624 37.964),1
392,-122.456,37.88,27,04,2014,yes,Plantago erecta Morris,117,POINT (-122.456 37.88),1
405,-122.604,37.984,14,05,2016,yes,Plantago erecta Morris,135,POINT (-122.604 37.984),1
406,-122.628,37.963,22,03,2014,yes,Plantago erecta Morris,81,POINT (-122.628 37.963),1
407,-122.626,37.964,28,03,2014,yes,Plantago erecta Morris,87,POINT (-122.626 37.964),1
408,-122.626,37.968,28,03,2014,yes,Plantago erecta Morris,87,POINT (-122.626 37.968),1
414,-122.639,37.972,26,02,2011,yes,Plantago erecta Morris,57,POINT (-122.639 37.972),1
427,-122.624,37.964,22,03,2014,yes,Plantago erecta Morris,81,POINT (-122.624 37.964),1
438,-122.626,37.964,22,03,2014,yes,Plantago erecta Morris,81,POINT (-122.626 37.964),1
442,-124.166,40.857,11,06,2016,yes,Plantago erecta Morris,163,POINT (-124.166 40.857),1
443,-122.605,37.982,14,05,2016,yes,Plantago erecta Morris,135,POINT (-122.605 37.982),1
444,-122.612,37.91,07,05,2016,yes,Plantago erecta Morris,128,POINT (-122.612 37.91),1
445,-122.614,37.909,07,05,2016,yes,Plantago erecta Morris,128,POINT (-122.614 37.909),1
446,-122.212,38.147,02,05,2016,yes,Plantago erecta Morris,123,POINT (-122.212 38.147),1
447,-123.072,39.016,09,04,2016,yes,Plantago erecta Morris,100,POINT (-123.072 39.016),1
448,-122.593,37.948,12,04,2013,yes,Plantago erecta Morris,102,POINT (-122.593 37.948),1
449,-122.53,37.918,22,03,2015,yes,Plantago erecta Morris,81,POINT (-122.53 37.918),1
450,-122.625,37.964,22,03,2014,yes,Plantago erecta Morris,81,POINT (-122.625 37.964),1
451,-122.615,37.955,04,05,2013,yes,Plantago erecta Morris,124,POINT (-122.615 37.955),1
452,-122.612,37.965,09,03,2013,yes,Plantago erecta Morris,68,POINT (-122.612 37.965),1
453,-122.615,37.955,12,04,2013,yes,Plantago erecta Morris,102,POINT (-122.615 37.955),1
454,-122.592,37.947,12,04,2013,yes,Plantago erecta Morris,102,POINT (-122.592 37.947),1
455,-122.609,37.925,05,05,2012,yes,Plantago erecta Morris,126,POINT (-122.609 37.925),1
456,-122.923,38.093,20,04,2015,yes,Plantago erecta Morris,110,POINT (-122.923 38.093),1
457,-122.974,38.45,12,04,2016,yes,Plantago erecta Morris,103,POINT (-122.974 38.45),1
458,-122.544,38.448,21,03,2015,yes,Plantago erecta Morris,80,POINT (-122.544 38.448),1
459,-122.605,37.982,14,05,2016,yes,Plantago erecta Morris,135,POINT (-122.605 37.982),1
460,-122.609,37.91,07,05,2016,yes,Plantago erecta Morris,128,POINT (-122.609 37.91),1
461,-122.493,37.918,08,04,2016,yes,Plantago erecta Morris,99,POINT (-122.493 37.918),1
462,-122.694,38.571,19,03,2016,yes,Plantago erecta Morris,79,POINT (-122.694 38.571),1
463,-122.823,38.119,23,04,2016,yes,Plantago erecta Morris,114,POINT (-122.823 38.119),1
464,-122.498,38.008,19,03,2016,yes,Plantago erecta Morris,79,POINT (-122.498 38.008),1
465,-122.504,37.832,15,03,2016,yes,Plantago erecta Morris,75,POINT (-122.504 37.832),1
466,-122.687,38.567,12,04,2015,yes,Plantago erecta Morris,102,POINT (-122.687 38.567),1
467,-122.852,38.038,04,04,2015,yes,Plantago erecta Morris,94,POINT (-122.852 38.038),1
468,-123.061,38.537,22,03,2015,yes,Plantago erecta Morris,81,POINT (-123.061 38.537),1
469,-122.597,38.126,15,03,2015,yes,Plantago erecta Morris,74,POINT (-122.597 38.126),1
470,-122.595,38.125,08,03,2015,yes,Plantago erecta Morris,67,POINT (-122.595 38.125),1
471,-122.486,37.91,28,02,2015,yes,Plantago erecta Morris,59,POINT (-122.486 37.91),1
472,-122.627,37.968,14,06,2014,yes,Plantago erecta Morris,165,POINT (-122.627 37.968),1
473,-122.627,37.968,10,05,2014,yes,Plantago erecta Morris,130,POINT (-122.627 37.968),1
474,-122.486,37.91,28,05,2014,yes,Plantago erecta Morris,148,POINT (-122.486 37.91),1
475,-122.624,37.964,10,05,2014,yes,Plantago erecta Morris,130,POINT (-122.624 37.964),1
476,-122.614,37.909,27,04,2014,yes,Plantago erecta Morris,117,POINT (-122.614 37.909),1
477,-122.764,38.719,19,04,2014,yes,Plantago erecta Morris,109,POINT (-122.764 38.719),1
478,-122.493,37.918,18,04,2014,yes,Plantago erecta Morris,108,POINT (-122.493 37.918),1
479,-122.636,37.968,12,04,2014,yes,Plantago erecta Morris,102,POINT (-122.636 37.968),1
480,-122.49,37.839,28,03,2014,yes,Plantago erecta Morris,87,POINT (-122.49 37.839),1
481,-122.524,37.836,29,03,2014,yes,Plantago erecta Morris,88,POINT (-122.524 37.836),1
482,-122.74,38.057,28,03,2014,yes,Plantago erecta Morris,87,POINT (-122.74 38.057),1
483,-122.624,37.964,22,03,2014,yes,Plantago erecta Morris,81,POINT (-122.624 37.964),1
484,-122.615,37.955,12,04,2013,yes,Plantago erecta Morris,102,POINT (-122.615 37.955),1
485,-122.688,38.568,18,04,2013,yes,Plantago erecta Morris,108,POINT (-122.688 38.568),1
486,-122.612,37.965,09,03,2013,yes,Plantago erecta Morris,68,POINT (-122.612 37.965),1
487,-122.731,38.569,08,05,2011,yes,Plantago erecta Morris,128,POINT (-122.731 38.569),1
488,-122.784,38.612,10,04,2011,yes,Plantago erecta Morris,100,POINT (-122.784 38.612),1
489,-122.639,37.972,10,04,2011,yes,Plantago erecta Morris,100,POINT (-122.639 37.972),1
490,-122.686,38.567,04,04,2009,yes,Plantago erecta Morris,94,POINT (-122.686 38.567),1
491,-122.615,37.955,04,05,2013,yes,Plantago erecta Morris,124,POINT (-122.615 37.955),1
492,-122.615,37.955,12,04,2013,yes,Plantago erecta Morris,102,POINT (-122.615 37.955),1
499,-122.694,38.404,15,06,2015,yes,Clarkia purpurea,166,POINT (-122.694 38.404),1
500,-122.568,38.482,10,05,2015,yes,Clarkia purpurea,130,POINT (-122.568 38.482),1
504,-122.34,38.438,27,04,1980,yes,Clarkia purpurea,118,POINT (-122.34 38.438),1
505,-123.139,40.555,26,06,1979,yes,Clarkia purpurea,177,POINT (-123.139 40.555),1
506,-122.829,38.842,15,05,1984,yes,Clarkia purpurea,136,POINT (-122.829 38.842),1
507,-122.766,38.814,28,05,1983,yes,Clarkia purpurea,148,POINT (-122.766 38.814),1
508,-122.291,38.493,03,05,1981,yes,Clarkia purpurea,123,POINT (-122.291 38.493),1
510,-122.685,41.704,10,06,1980,yes,Clarkia purpurea,162,POINT (-122.685 41.704),1
511,-123.47,40.341,04,06,1979,yes,Clarkia purpurea,155,POINT (-123.47 40.341),1
512,-122.602,38.558,14,05,1980,yes,Clarkia purpurea,135,POINT (-122.602 38.558),1
513,-123.762,39.227,20,06,1968,yes,Clarkia purpurea,172,POINT (-123.762 39.227),1
514,-122.464,38.598,25,05,1974,yes,Clarkia purpurea,145,POINT (-122.464 38.598),1
515,-122.52,38.538,28,05,1979,yes,Clarkia purpurea,148,POINT (-122.52 38.538),1
516,-122.44,38.568,16,05,1972,yes,Clarkia purpurea,137,POINT (-122.44 38.568),1
517,-122.272,38.486,03,05,1981,yes,Clarkia purpurea,123,POINT (-122.272 38.486),1
518,-122.44,38.568,02,06,1972,yes,Clarkia purpurea,154,POINT (-122.44 38.568),1
519,-123.326,40.049,09,07,1981,yes,Clarkia purpurea,190,POINT (-123.326 40.049),1
520,-122.831,38.837,05,05,1984,yes,Clarkia purpurea,126,POINT (-122.831 38.837),1
521,-122.373,38.388,10,05,1972,yes,Clarkia purpurea,131,POINT (-122.373 38.388),1
523,-123.161,39.086,25,05,2016,yes,Clarkia purpurea,146,POINT (-123.161 39.086),1
524,-123.134,39.131,25,05,2016,yes,Clarkia purpurea,146,POINT (-123.134 39.131),1
526,-123.116,39.126,03,05,2014,yes,Clarkia purpurea,123,POINT (-123.116 39.126),1
538,-122.111,38.215,14,05,2011,yes,Clarkia purpurea,134,POINT (-122.111 38.215),1
539,-122.111,38.215,14,05,2011,yes,Clarkia purpurea,134,POINT (-122.111 38.215),1
540,-122.232,38.16,16,04,2013,yes,Clarkia purpurea,106,POINT (-122.232 38.16),1
542,-122.614,37.909,26,06,2005,yes,Clarkia purpurea,177,POINT (-122.614 37.909),1
543,-122.118,38.226,13,05,2008,yes,Clarkia purpurea,134,POINT (-122.118 38.226),1
544,-122.176,38.278,15,05,2007,yes,Clarkia purpurea,135,POINT (-122.176 38.278),1
548,-121.526,41.72,22,06,1968,yes,Clarkia purpurea,174,POINT (-121.526 41.72),1
552,-122.586,38.024,28,04,2016,yes,Clarkia purpurea,119,POINT (-122.586 38.024),1
553,-123.694,40.763,03,07,2007,yes,Clarkia purpurea,184,POINT (-123.694 40.763),1
554,-123.694,40.766,27,06,2008,yes,Clarkia purpurea,179,POINT (-123.694 40.766),1
555,-123.276,39.853,26,06,1980,yes,Clarkia purpurea,178,POINT (-123.276 39.853),1
556,-123.338,40.785,04,05,1980,yes,Clarkia purpurea,125,POINT (-123.338 40.785),1
557,-123.51,40.925,26,06,1978,yes,Clarkia purpurea,177,POINT (-123.51 40.925),1
558,-123.193,40.008,30,06,1977,yes,Clarkia purpurea,181,POINT (-123.193 40.008),1
559,-123.027,39.808,27,05,1974,yes,Clarkia purpurea,147,POINT (-123.027 39.808),1
560,-123.476,40.89,10,06,2005,yes,Clarkia purpurea,161,POINT (-123.476 40.89),1
561,-123.607,40.516,17,06,1972,yes,Clarkia purpurea,169,POINT (-123.607 40.516),1
564,-123.347,38.892,01,06,1986,yes,Clarkia purpurea,152,POINT (-123.347 38.892),1
565,-123.697,40.713,14,06,2007,yes,Clarkia purpurea,165,POINT (-123.697 40.713),1
566,-123.442,39.509,22,06,1983,yes,Clarkia purpurea,173,POINT (-123.442 39.509),1
567,-123.029,38.945,22,05,1981,yes,Clarkia purpurea,142,POINT (-123.029 38.945),1
568,-122.858,39.327,24,06,1980,yes,Clarkia purpurea,176,POINT (-122.858 39.327),1
569,-123.241,40.177,09,06,1978,yes,Clarkia purpurea,160,POINT (-123.241 40.177),1
570,-123.053,41.335,16,06,1970,yes,Clarkia purpurea,167,POINT (-123.053 41.335),1
571,-123.326,40.049,09,07,1981,yes,Clarkia purpurea,190,POINT (-123.326 40.049),1
572,-123.904,40.643,17,07,1974,yes,Clarkia purpurea,198,POINT (-123.904 40.643),1
573,-123.63,39.742,17,05,1975,yes,Clarkia purpurea,137,POINT (-123.63 39.742),1
574,-123.827,40.612,17,07,1974,yes,Clarkia purpurea,198,POINT (-123.827 40.612),1
575,-124.226,40.763,14,06,1976,yes,Clarkia purpurea,166,POINT (-124.226 40.763),1
576,-123.52,40.406,21,06,1975,yes,Clarkia purpurea,172,POINT (-123.52 40.406),1
577,-123.453,40.866,10,06,2005,yes,Clarkia purpurea,161,POINT (-123.453 40.866),1
578,-122.976,39.441,15,06,1971,yes,Clarkia purpurea,166,POINT (-122.976 39.441),1
579,-123.054,40.789,01,06,1966,yes,Clarkia purpurea,152,POINT (-123.054 40.789),1
581,-123.759,40.485,15,06,1966,yes,Clarkia purpurea,166,POINT (-123.759 40.485),1
621,-122.131,38.243,13,05,2014,yes,Clarkia purpurea,133,POINT (-122.131 38.243),1
648,-122.556,37.952,19,05,1967,yes,Clarkia purpurea,139,POINT (-122.556 37.952),1
649,-123.052,39.806,27,05,1974,yes,Clarkia purpurea,147,POINT (-123.052 39.806),1
650,-123.241,40.177,09,06,1978,yes,Clarkia purpurea,160,POINT (-123.241 40.177),1
657,-122.436,38.366,10,05,1986,yes,Clarkia purpurea,130,POINT (-122.436 38.366),1
658,-122.341,38.273,15,05,2000,yes,Clarkia purpurea,136,POINT (-122.341 38.273),1
659,-122.439,38.428,01,06,1991,yes,Clarkia purpurea,152,POINT (-122.439 38.428),1
660,-122.442,38.406,14,05,1976,yes,Clarkia purpurea,135,POINT (-122.442 38.406),1
661,-122.583,37.994,07,05,1981,yes,Clarkia purpurea,127,POINT (-122.583 37.994),1
662,-122.403,38.559,19,05,2007,yes,Clarkia purpurea,139,POINT (-122.403 38.559),1
663,-122.562,37.975,12,07,1980,yes,Clarkia purpurea,194,POINT (-122.562 37.975),1
664,-122.498,38.438,21,05,1994,yes,Clarkia purpurea,141,POINT (-122.498 38.438),1
665,-122.509,38.436,24,05,1996,yes,Clarkia purpurea,145,POINT (-122.509 38.436),1
666,-122.731,38.168,10,06,1999,yes,Clarkia purpurea,161,POINT (-122.731 38.168),1
668,-122.498,38.438,21,05,1994,yes,Clarkia purpurea,141,POINT (-122.498 38.438),1
672,-122.431,38.384,14,06,1978,yes,Clarkia purpurea,165,POINT (-122.431 38.384),1
673,-122.598,38.625,24,04,2009,yes,Clarkia purpurea,114,POINT (-122.598 38.625),1
675,-122.227,38.293,29,05,1983,yes,Clarkia purpurea,149,POINT (-122.227 38.293),1
676,-122.955,39.447,23,06,1993,yes,Clarkia purpurea,174,POINT (-122.955 39.447),1
677,-122.978,39.416,29,06,1993,yes,Clarkia purpurea,180,POINT (-122.978 39.416),1
679,-123.605,39.214,25,04,1985,yes,Clarkia purpurea,115,POINT (-123.605 39.214),1
690,-124.062,40.305,01,07,1983,yes,Clarkia purpurea,182,POINT (-124.062 40.305),1
691,-124.056,40.302,01,07,1983,yes,Clarkia purpurea,182,POINT (-124.056 40.302),1
